sample,timestamp,angle
0,1771704823.7243505,344.0
1,1771704823.8346703,342.0
2,1771704823.9488719,344.0
3,1771704824.074063,342.0
4,1771704824.1900203,344.0
5,1771704824.3174834,342.0
6,1771704824.4646451,346.0
7,1771704824.583363,342.0
8,1771704824.6910052,344.0
9,1771704824.798409,342.0
10,1771704824.9143932,344.0
11,1771704825.0293527,346.0
12,1771704825.1350515,342.0
13,1771704825.2404544,342.0
14,1771704825.3628318,344.0
15,1771704825.4726915,342.0
16,1771704825.5977645,344.0
17,1771704825.7150767,344.0
18,1771704825.835014,344.0
19,1771704825.9410417,344.0
20,1771704826.0369375,342.0
21,1771704826.135103,342.0
22,1771704826.2351017,342.0
23,1771704826.3320074,342.0
24,1771704826.4397218,344.0
25,1771704826.5393395,342.0
26,1771704826.633858,344.0
27,1771704826.739331,344.0
28,1771704826.8391926,342.0
29,1771704826.944135,342.0
30,1771704827.0464149,344.0
31,1771704827.148841,342.0
32,1771704827.253349,342.0
33,1771704827.347811,342.0
34,1771704827.4436786,344.0
35,1771704827.5557675,344.0
36,1771704827.6558495,342.0
37,1771704827.7535934,344.0
38,1771704827.8438773,344.0
39,1771704827.949887,342.0
40,1771704828.0508685,344.0
41,1771704828.1544943,344.0
42,1771704828.2447395,344.0
43,1771704828.3587036,344.0
44,1771704828.4648843,344.0
45,1771704828.5638657,344.0
46,1771704828.6682498,344.0
47,1771704828.7644057,344.0
48,1771704828.859669,342.0
49,1771704828.9558258,342.0
50,1771704829.055905,344.0
51,1771704829.1568024,344.0
52,1771704829.2633543,342.0
53,1771704829.3596117,344.0
54,1771704829.4747682,344.0
55,1771704829.5746632,344.0
56,1771704829.6759079,342.0
57,1771704829.7845168,344.0
58,1771704829.8847437,342.0
59,1771704829.9849627,342.0
60,1771704830.0841742,342.0
61,1771704830.1862042,344.0
62,1771704830.287612,344.0
63,1771704830.384751,344.0
64,1771704830.4836597,342.0
65,1771704830.5772111,342.0
66,1771704830.684726,342.0
67,1771704830.7845833,344.0
68,1771704830.88589,342.0
69,1771704830.9841156,344.0
70,1771704831.083483,342.0
71,1771704831.1773338,342.0
72,1771704831.2847278,342.0
73,1771704831.3848453,342.0
74,1771704831.4848595,342.0
75,1771704831.58477,344.0
76,1771704831.6842852,344.0
77,1771704831.787833,344.0
78,1771704831.8845744,344.0
79,1771704831.9918725,344.0
80,1771704832.090344,342.0
81,1771704832.1946845,344.0
82,1771704832.2946234,342.0
83,1771704832.3873825,342.0
84,1771704832.4839878,344.0
85,1771704832.5841262,342.0
86,1771704832.686523,342.0
87,1771704832.7921262,342.0
88,1771704832.8843725,342.0
89,1771704832.9903202,342.0
90,1771704833.0881455,342.0
91,1771704833.1906025,344.0
92,1771704833.2918959,344.0
93,1771704833.3999715,342.0
94,1771704833.5022912,344.0
95,1771704833.6042824,344.0
96,1771704833.7046056,346.0
97,1771704833.8058398,344.0
98,1771704833.9166305,342.0
99,1771704834.016959,344.0
100,1771704834.1160138,344.0
101,1771704834.2168462,342.0
102,1771704834.3148015,342.0
103,1771704834.426108,344.0
104,1771704834.5240521,344.0
105,1771704834.6260633,342.0
106,1771704834.7274323,344.0
107,1771704834.8350406,342.0
108,1771704834.9539568,344.0
109,1771704835.0518296,342.0
110,1771704835.1475315,342.0
111,1771704835.249511,342.0
112,1771704835.345081,344.0
113,1771704835.4513774,344.0
114,1771704835.554848,346.0
115,1771704835.664046,344.0
116,1771704835.7748594,344.0
117,1771704835.8820865,344.0
118,1771704835.984201,342.0
119,1771704836.082848,344.0
120,1771704836.1807349,344.0
121,1771704836.2762337,342.0
122,1771704836.3760548,342.0
123,1771704836.4760635,342.0
124,1771704836.575011,344.0
125,1771704836.6749208,342.0
126,1771704836.7785923,344.0
127,1771704836.8764853,344.0
128,1771704836.9789596,344.0
129,1771704837.0809376,344.0
130,1771704837.1777363,344.0
131,1771704837.2719324,344.0
132,1771704837.374898,344.0
133,1771704837.47983,344.0
134,1771704837.5774207,342.0
135,1771704837.678997,344.0
136,1771704837.7763224,344.0

STATISTICS
samples,137
std_dev,1.0996
range,4.0000
