PID,Time,TrialIndex,SpawnIndex,AudioIndex,AudioAngle,absError,DistanceFromSource,ResponseTime,Visualisation
45,30.11833,0,2,5,174.8885,174.8885,0.6336244,13.23268,1
45,46.64897,1,2,15,10.60599,10.60599,1.285935,16.53063,1
45,52.77553,2,0,3,18.77693,18.77693,0.9361852,6.126564,1
45,64.39425,3,0,14,357.4415,2.558533,1.315591,11.61872,1
45,83.80849,4,1,4,16.60564,16.60564,1.882803,19.41425,1
45,96.72232,5,0,1,8.572468,8.572468,0.9181098,12.91383,1
45,108.3083,6,1,6,359.3571,0.6428528,0.8613287,11.58602,1
45,113.751,7,1,10,316.7884,43.21164,1.622033,0.7696533,2
45,114.8893,8,2,7,96.66001,96.66001,17.76009,1.13829,2
45,115.3931,9,0,8,336.1182,23.88177,14.42025,0.5037308,2
45,115.8387,10,2,8,178.5761,178.5761,5.861372,0.4456558,2
45,116.4275,11,1,2,67.16618,67.16618,10.16685,0.5888062,2
45,116.8057,12,1,0,11.73098,11.73098,30.02193,0.3781738,2
45,117.2365,13,0,16,331.253,28.74701,5.682464,0.430748,2
45,121.5653,14,1,13,1.04777,1.04777,28.71667,0.4013901,2
45,121.8778,15,1,15,35.70684,35.70684,11.09614,0.3125153,2
45,122.1948,16,1,12,41.10031,41.10031,19.16915,0.3170242,2
45,122.5461,17,0,4,22.1964,22.1964,15.31162,0.3512878,2
45,122.8994,18,2,6,148.1576,148.1576,13.64657,0.3532562,2
45,123.1961,19,1,3,359.4422,0.5577698,6.868273,0.2967682,2
45,123.5298,20,1,8,2.346155,2.346155,19.77116,0.3336334,2
45,128.2749,21,0,6,31.33824,31.33824,8.082305,0.4675522,2
45,128.523,22,0,11,117.6297,117.6297,10.91791,0.2481537,2
45,128.8306,23,2,11,153.6785,153.6785,27.09267,0.3076019,2
45,129.1913,24,2,9,176.8104,176.8104,28.45544,0.360611,2
45,129.5287,25,0,9,186.0522,173.9478,9.132881,0.3374939,2
45,129.7948,26,1,9,121.0272,121.0272,5.969871,0.266098,2
45,129.9882,27,0,10,229.9676,130.0324,9.866458,0.1933136,2
45,134.083,28,2,13,80.96149,80.96149,3.167996,0.2808838,4
45,134.3705,29,0,12,120.7918,120.7918,10.762,0.2875061,4
45,134.61,30,1,1,180.1698,179.8302,16.23286,0.2395325,4
45,134.8461,31,2,2,239.903,120.097,23.88313,0.2360229,4
45,135.108,32,0,5,137.5796,137.5796,8.065392,0.2619019,4
45,135.3461,33,1,16,87.58371,87.58371,12.25868,0.2380981,4
