Q4,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q2_1,Q2_2,Q2_3,Q10,Q10_4_TEXT,Q10
What is your Participant ID (PID)?,Please rank the visualisations from best to worst. - Arrow,Please rank the visualisations from best to worst. - Radar,Please rank the visualisations from best to worst. - Lights,Please rank the visualisations from best to worst. - Arrow and Radar,Please rank the visualisations from best to worst. - Radar and Lights,Please rank the visualisations from best to worst. - Lights and Arrow,Please rank the visualisations from best to worst. - Control - Hearing sound itself without any visualisations,Which visualizations would you prefer for different distances from the sound source? - Near,Which visualizations would you prefer for different distances from the sound source? - Medium,Which visualizations would you prefer for different distances from the sound source? - Far,How old are you?,How do you describe yourself? - Prefer to self-describe - Text,How old are you?
"{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID1_6""}","{""ImportId"":""QID1_7""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID10_4_TEXT""}","{""ImportId"":""QID11_TEXT""}"
44,6,4,2,5,3,1,7,Lights,"Arrow,Lights","Arrow,Lights",30,,30
49,7,3,1,6,4,5,2,Lights,"Radar,Lights","Radar,Lights",23,,23
6,5,4,3,1,2,6,7,Lights,"Arrow,Radar,Lights","Arrow,Radar",25,,25
51,3,5,6,2,4,1,7,"Arrow,Radar","Arrow,Radar","Arrow,Radar",26,,26
52,6,5,4,1,3,2,7,"Arrow,Lights","Arrow,Radar",Radar,38,,38
7,6,5,4,2,3,1,7,Radar,Arrow,Arrow,34,,34
8,2,7,5,3,6,1,4,"Arrow,Lights",Arrow,"Arrow,Lights",27,,27
53,1,4,2,5,6,3,7,"Arrow,Lights",Arrow,Arrow,26,,26
9,3,1,5,6,2,4,7,"Arrow,Radar,Lights","Arrow,Radar","Arrow,Radar",22,,22
10,2,3,6,1,5,4,7,"Arrow,Radar","Arrow,Radar","Arrow,Radar",47,,47
11,4,1,2,6,3,7,5,"Radar,Lights","Radar,Lights","Arrow,Radar",21,,21
12,5,6,7,2,1,3,4,Arrow,Lights,Radar,36,,36
13,3,4,7,5,1,6,2,"Arrow,Radar",Radar,"Radar,Lights",38,,38
