PID,Time,TrialIndex,SpawnIndex,AudioIndex,AudioAngle,Angle Error,Distance,Response Time,Visualisation
48,168.27,0,0,10,1.123195,1.123195,2.954623,13.15437,Arrow
48,177.7787,1,2,14,357.8148,2.185181,2.240334,9.508652,Arrow
48,195.7531,2,0,6,353.2225,6.777527,2.712543,17.97446,Arrow
48,212.4249,3,2,16,5.327357,5.327357,2.427727,16.67171,Arrow
48,236.059,4,2,9,1.439352,1.439352,2.345576,23.63419,Arrow
48,265.537,5,2,15,347.583,12.41696,2.234567,29.47798,Arrow
48,292.6012,6,1,4,359.7925,0.2074585,2.410537,27.06421,Arrow
48,398.24,7,0,1,329.6707,30.32925,2.301887,15.68262,Radar
48,416.63,8,1,8,328.4458,31.55423,1.8627,18.39001,Radar
48,437.629,9,2,10,350.3446,9.655426,3.027345,20.99899,Radar
48,451.9604,10,2,4,6.955596,6.955596,0.9255376,14.33139,Radar
48,476.4333,11,1,14,321.5236,38.47641,3.03774,24.4729,Radar
48,491.5204,12,1,5,341.8529,18.14706,2.026278,15.08704,Radar
48,506.0723,13,0,11,358.9597,1.040283,1.002979,14.55191,Radar
48,725.2723,14,2,13,7.706917,7.706917,3.08798,5.413025,Lights
48,752.5943,15,2,12,351.7781,8.221863,2.308421,27.32196,Lights
48,760.803,16,0,5,10.19062,10.19062,3.054263,8.208679,Lights
48,777.4908,17,0,9,2.941792,2.941792,2.403495,16.68787,Lights
48,796.3792,18,1,6,7.51626,7.51626,3.167537,18.88837,Lights
48,808.659,19,0,7,0.7634019,0.7634019,2.182153,12.27979,Lights
48,819.0161,20,0,2,0.9545774,0.9545774,2.239245,10.35706,Lights
48,914.9537,21,0,0,340.3472,19.65283,2.103059,20.00073,Arrow & Radar
48,932.7599,22,1,13,350.7188,9.281219,1.244554,17.80621,Arrow & Radar
48,950.1773,23,2,7,343.3807,16.61932,2.741292,17.41742,Arrow & Radar
48,967.5084,24,1,2,348.3578,11.64218,2.092644,17.33105,Arrow & Radar
48,978.3861,25,2,6,6.427407,6.427407,2.323602,10.87775,Arrow & Radar
48,991.8297,26,2,11,340.9049,19.09512,1.594025,13.44354,Arrow & Radar
48,1016.41,27,1,0,355.959,4.041046,2.15151,24.58063,Arrow & Radar
48,1180.79,28,0,3,357.6034,2.396606,2.25768,3.950928,Arrow & Lights
48,1184.443,29,1,10,357.8519,2.148071,0.8559771,3.653076,Arrow & Lights
48,1196.304,30,2,0,359.7772,0.2227783,1.61349,11.86072,Arrow & Lights
48,1210.764,31,2,2,13.24999,13.24999,2.260547,14.46033,Arrow & Lights
48,1225.547,32,1,16,0.953234,0.953234,1.709067,14.78284,Arrow & Lights
48,1231.195,33,0,16,7.981199,7.981199,0.8358973,5.648193,Arrow & Lights
48,1239.356,34,1,15,3.917138,3.917138,2.13975,8.161255,Arrow & Lights
48,1317.647,35,1,12,356.0878,3.91217,2.775061,18.26917,Lights & Radar
48,1327.435,36,1,1,350.0534,9.946625,2.195781,9.78772,Lights & Radar
48,1342.259,37,1,11,356.0245,3.975525,2.414582,14.82422,Lights & Radar
48,1352.94,38,2,8,353.8232,6.176758,1.229018,10.68103,Lights & Radar
48,1366.911,39,0,4,359.0768,0.9231567,1.947599,13.97034,Lights & Radar
48,1380.813,40,2,3,359.735,0.2650452,2.142011,13.90234,Lights & Radar
48,1390.003,41,0,12,353.4221,6.577911,2.914053,9.190552,Lights & Radar
48,1841.167,42,2,5,141.3755,141.3755,0.8849781,24.15808,Control
48,1865.281,43,1,7,27.90505,27.90505,1.251859,24.11389,Control
48,1889.145,44,0,8,359.0254,0.9746399,2.73718,23.86414,Control
48,1902.496,45,0,14,266.434,93.56604,0.9255402,13.35095,Control
48,1923.809,46,0,13,15.79555,15.79555,2.275753,21.31311,Control
48,1931.448,47,1,9,321.2021,38.79788,2.02739,7.638916,Control
48,1947.268,48,1,3,116.6209,116.6209,1.051113,15.8197,Control
49,260.9427,0,2,13,180.2891,179.7109,2.963961,7.663788,Arrow & Lights
49,309.216,1,1,15,357.195,2.804993,2.622685,48.27332,Arrow & Lights
49,340.8965,2,1,4,354.7597,5.240295,3.227971,31.68054,Arrow & Lights
49,364.6038,3,2,0,9.709829,9.709829,3.064583,23.70721,Arrow & Lights
49,383.3401,4,1,9,5.473327,5.473327,1.733711,18.7363,Arrow & Lights
49,412.4102,5,1,0,1.069953,1.069953,2.383851,29.0701,Arrow & Lights
49,430.53,6,1,12,346.9475,13.05249,1.610738,18.11984,Arrow & Lights
49,673.6714,7,2,9,348.05,11.95001,1.076343,30.20959,Control
49,699.2009,8,2,3,333.901,26.099,1.124445,25.52954,Control
49,742.1276,9,0,13,323.6154,36.38458,1.883538,42.92664,Control
49,757.6747,10,1,1,359.3335,0.6665344,0.9854631,15.54718,Control
49,778.5245,11,0,14,0.9287151,0.9287151,1.620415,20.84979,Control
49,804.3838,12,0,10,329.6131,30.3869,0.4586168,25.85925,Control
49,819.8171,13,0,3,351.4268,8.573181,1.37616,15.43329,Control
49,1007.63,14,0,2,354.7977,5.202332,0.8686224,11.67743,Lights
49,1019.52,15,1,3,354.8873,5.112671,2.892514,11.89038,Lights
49,1072.847,16,0,6,1.157952,1.157952,2.784292,53.32666,Lights
49,1100.51,17,1,13,357.3717,2.628326,1.846401,27.66296,Lights
49,1116.062,18,0,1,354.5726,5.427429,1.429802,15.55225,Lights
49,1170.033,19,1,14,10.45879,10.45879,2.873843,53.97144,Lights
49,1205.032,20,2,16,357.5514,2.448608,1.352445,34.99854,Lights
49,81.01619,21,1,5,355.4256,4.574432,2.880701,19.58945,Lights & Radar
49,105.2438,22,2,11,3.835765,3.835765,2.605187,24.22756,Lights & Radar
49,120.6854,23,2,8,0.005951329,0.005951329,2.87833,15.44164,Lights & Radar
49,136.3648,24,2,10,357.2027,2.797302,2.071402,15.67938,Lights & Radar
49,158.2086,25,1,12,357.2345,2.765503,2.61561,21.84384,Lights & Radar
49,196.4299,26,2,2,352.6025,7.397461,1.677418,38.22124,Lights & Radar
49,210.137,27,1,15,3.403968,3.403968,2.412013,13.70712,Lights & Radar
49,370.0089,28,1,1,10.57736,10.57736,2.860559,27.92935,Arrow
49,384.5149,29,2,16,12.34355,12.34355,2.670009,14.50601,Arrow
49,401.2612,30,2,9,359.9945,0.005493164,1.625064,16.74631,Arrow
49,410.0991,31,2,12,13.2562,13.2562,1.967297,8.837891,Arrow
49,421.1576,32,2,5,4.938692,4.938692,1.172023,11.05847,Arrow
49,428.0792,33,0,11,2.508322,2.508322,1.597521,6.921631,Arrow
49,448.8568,34,1,0,359.2431,0.7568665,1.757467,20.77759,Arrow
49,584.8565,35,0,9,9.454095,9.454095,2.082473,26.77966,Arrow & Radar
49,612.0879,36,1,14,1.052888,1.052888,2.838969,27.23138,Arrow & Radar
49,630.4131,37,1,7,359.8922,0.1078491,1.9432,18.3252,Arrow & Radar
49,642.4544,38,0,7,4.925417,4.925417,2.177104,12.04132,Arrow & Radar
49,652.4641,39,1,9,357.9584,2.041626,2.731829,10.0097,Arrow & Radar
49,663.3574,40,2,7,359.8127,0.1872864,2.018552,10.89331,Arrow & Radar
49,674.2202,41,0,1,356.931,3.06897,2.165229,10.86273,Arrow & Radar
49,803.3566,42,1,13,355.261,4.738983,2.173064,29.64679,Radar
49,823.6046,43,1,8,359.2718,0.7281799,1.469281,20.24799,Radar
49,827.5338,44,0,3,358.325,1.674988,1.955905,3.929199,Radar
49,837.5745,45,1,16,355.224,4.77597,1.725166,10.04065,Radar
49,847.178,46,0,6,357.0332,2.966797,1.777754,9.603516,Radar
49,861.0186,47,0,14,358.7967,1.203308,1.129086,13.84064,Radar
49,866.3277,48,1,3,358.6451,1.354889,2.709791,5.309082,Radar
51,242.6713,0,1,11,159.4594,159.4594,0.5752243,27.0802,Arrow
51,254.5576,1,0,3,183.1842,176.8158,1.027857,11.88634,Arrow
51,266.6231,2,0,5,273.8514,86.14856,0.72696,12.06548,Arrow
51,289.727,3,2,2,354.172,5.828033,0.5402859,23.10388,Arrow
51,303.1351,4,0,9,332.7578,27.24225,0.933639,13.40811,Arrow
51,325.4238,5,2,0,227.8476,132.1524,0.6908071,22.28873,Arrow
51,330.9524,6,2,13,234.6305,125.3695,0.8234744,5.528595,Arrow
51,629.4274,7,1,14,359.6062,0.3938293,0.9257255,25.85907,Lights
51,702.6121,8,0,1,352.9796,7.020355,1.115806,73.18463,Lights
51,735.4957,9,0,4,0.9469371,0.9469371,2.670596,32.88361,Lights
51,774.9686,10,0,8,347.4659,12.53415,0.8748611,39.47296,Lights
51,814.6736,11,2,15,6.953704,6.953704,1.885283,39.70496,Lights
51,830.6874,12,0,11,0.5173469,0.5173469,2.665086,16.01379,Lights
51,861.9213,13,2,12,343.3596,16.64035,1.88128,31.23395,Lights
51,1099.553,14,2,16,184.0148,175.9852,1.628532,60.29407,Radar
51,1142.513,15,1,16,191.2153,168.7847,2.427487,42.95911,Radar
