Q1,Q2,Q3_1,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q12_1,Q12_2,Q10_1,Q10_2,Q10_3,Q10_4,Q5_1,Q5_2,Q5_3,Q11_1
What is your Participant ID (PID)?,Which visualization have you just completed?,Misery Scale (MISC) - Misery Scale,NASA TLX for this visualization. - Mental Demand. How mentally demanding was the task?,NASA TLX for this visualization. - Physical Demand. How physically demanding was the task?,NASA TLX for this visualization. - Temporal Demand. How hurried or rushed was the pace of the task?,NASA TLX for this visualization. - Performance. How successful were you in accomplishing what you were asked to do?,NASA TLX for this visualization. - Effort. How hard did you have to work to accomplish your level of performance?,"NASA TLX for this visualization. - Frustration. How insecure, discouraged, irritated, stressed, and annoyed were you?",Performance. How successful were you in interpreting the direction of the sound using this visualisation.,Performance. How successful were you in interpreting the magnitude of the sound using this visualisation.,UMUX for this visualisation - This visualisation's capabilities meet my requirements,UMUX for this visualisation - Using this visualisation is a frustrating experience,UMUX for this visualisation - This visualisation is easy to use,UMUX for this visualisation - I have to spend too much time correcting things with this visualisation.,Visual load. - The amount of visual information was overwhelming.,Visual load. - The visualization interfered with my awareness of the environment.,Visual load. - This visualisation was distracting,Confidence Question - I felt confident using this visualisation to localise sounds in my environment.
"{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID25_2""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID23_3""}","{""ImportId"":""QID23_4""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID24_1""}"
44,Arrow,8,3,1,1,11,1,1,11,11,5,3,5,2,2,2,1,6
44,Radar,8,1,1,1,12,8,1,14,14,6,2,6,2,2,1,1,5
44,Lights,7,0,0,0,17,1,1,18,18,6,1,7,1,1,1,1,7
44,Arrow and Radar,9,2,2,2,11,11,7,12,15,5,6,6,5,6,5,5,5
44,Arrow and Lights,8,0,0,2,18,0,0,19,19,5,3,7,1,3,3,3,7
44,Lights and Radar,9,1,0,1,16,8,1,18,18,5,3,6,3,3,3,3,5
44,Control,9,11,1,2,8,16,12,2,1,4,5,3,5,1,1,1,1
49,Arrow and Lights,1,11,11,12,13,9,10,15,14,5,3,5,3,3,4,3,6
49,Control,1,15,13,9,11,13,14,11,12,5,6,3,4,6,5,5,5
49,Lights,2,12,11,9,12,11,12,13,13,5,4,5,3,4,4,4,5
49,Lights and Radar,2,12,10,9,14,12,11,13,13,5,3,5,3,5,4,4,6
49,Arrow,3,17,16,9,11,15,16,12,12,2,6,3,5,6,5,5,5
49,Arrow and Radar,2,14,13,9,13,12,14,14,14,3,4,3,5,5,4,4,5
49,Radar,2,14,12,8,14,12,13,13,14,3,4,4,3,4,3,3,6
6,Arrow and Radar,2,7,4,0,14,8,0,19,20,7,1,7,1,1,6,1,7
6,Lights and Radar,1,11,13,0,20,15,6,20,20,5,4,3,5,3,5,2,5
6,Radar,4,13,13,4,20,14,4,20,20,4,5,3,6,6,6,5,3
6,Control,4,12,13,6,20,11,7,20,19,5,4,3,5,5,7,6,3
6,Arrow,4,12,15,6,20,17,5,20,20,2,6,2,5,5,4,2,3
6,Arrow and Lights,4,10,12,2,17,17,11,16,19,3,6,3,2,5,6,4,3
