PID,Time,TrialIndex,SpawnIndex,AudioIndex,AudioAngle,Angle Error,Distance,Response Time,Visualisation,DistanceTravelled,StraightLineDistance,NavDistance,Effectiveness,NavSpeed
48,168.27,0,0,10,1.123195,1.123195,2.954623,13.15437,Arrow,16.18985759,9.693735198,10.33092,0.455612223,0.785360302
48,177.7787,1,2,14,357.8148,2.185181,2.240334,9.508652,Arrow,8.878825107,6.303436762,6.361882,0.464199706,0.66906245
48,195.7531,2,0,6,353.2225,6.777527,2.712543,17.97446,Arrow,14.30608819,8.102084491,8.382174,0.396308965,0.466338015
48,212.4249,3,2,16,5.327357,5.327357,2.427727,16.67171,Arrow,19.061089,14.0365272,14.78909,0.648512947,0.887076971
48,236.059,4,2,9,1.439352,1.439352,2.345576,23.63419,Arrow,38.71719024,28.5234728,29.32231,0.696763733,1.240673363
48,265.537,5,2,15,347.583,12.41696,2.234567,29.47798,Arrow,23.40429751,17.61926428,19.35056,0.731318382,0.656441181
48,292.6012,6,1,4,359.7925,0.2074585,2.410537,27.06421,Arrow,31.1978192,23.75420377,25.48769,0.739704043,0.9417489
48,398.24,7,0,1,329.6707,30.32925,2.301887,15.68262,Radar,13.53513375,14.63824736,14.69847,0.843392748,0.937245817
48,416.63,8,1,8,328.4458,31.55423,1.8627,18.39001,Radar,20.76752611,19.7715506,19.77676,0.862599614,1.075407789
48,437.629,9,2,10,350.3446,9.655426,3.027345,20.99899,Radar,26.63392387,26.3349966,26.33501,0.875111948,1.254108412
48,451.9604,10,2,4,6.955596,6.955596,0.9255376,14.33139,Radar,16.40664602,11.3314652,11.79872,0.662730359,0.823278133
48,476.4333,11,1,14,321.5236,38.47641,3.03774,24.4729,Radar,31.07063002,22.13832398,23.38436,0.654850577,0.955520596
48,491.5204,12,1,5,341.8529,18.14706,2.026278,15.08704,Radar,16.7620737,16.18571155,16.18574,0.844732117,1.072824093
48,506.0723,13,0,11,358.9597,1.040283,1.002979,14.55191,Radar,10.97399464,10.81691564,10.81692,0.894290668,0.743333349
48,725.2723,14,2,13,7.706917,7.706917,3.08798,5.413025,Lights,0.08312627,3.02061583,3.020715,0,0.55804564
48,752.5943,15,2,12,351.7781,8.221863,2.308421,27.32196,Lights,16.07769135,16.24539704,16.37395,0.859018685,0.599296317
48,760.803,16,0,5,10.19062,10.19062,3.054263,8.208679,Lights,5.374874022,8.241062983,8.241096,0.62938631,1.003949113
48,777.4908,17,0,9,2.941792,2.941792,2.403495,16.68787,Lights,12.34144156,9.159872362,9.282323,0.557376378,0.556231742
48,796.3792,18,1,6,7.51626,7.51626,3.167537,18.88837,Lights,16.65724927,16.50907537,16.95096,0.813135244,0.897428418
48,808.659,19,0,7,0.7634019,0.7634019,2.182153,12.27979,Lights,16.61665795,18.25009506,18.2501,0.880430628,1.48618991
