Q1,Q2,Q3_1,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5_1,Q5_2,Q5_3,Q6_1,Q7,Q8
What is your Participant ID (PID)?,Which visualization have you just completed?,Misery Scale (MISC) - Misery Scale,NASA TLX for this visualization. - Mental Demand. How mentally demanding was the task?,NASA TLX for this visualization. - Physical Demand. How physically demanding was the task?,NASA TLX for this visualization. - Temporal Demand. How hurried or rushed was the pace of the task?,NASA TLX for this visualization. - Performance. How successful were you in accomplishing what you were asked to do?,NASA TLX for this visualization. - Effort. How hard did you have to work to accomplish your level of performance?,"NASA TLX for this visualization. - Frustration. How insecure, discouraged, irritated, stressed, and annoyed were you?",Visual load. - This visualization was visually demanding.,Visual load. - The amount of visual information was overwhelming.,Visual load. - The visualization interfered with my awareness of the environment.,Confidence. - I felt confident using this visualization to localise sound.,Did you find anything confusing about this visualization?,Any suggestions for improving this visualization?
"{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID8_TEXT""}"
2,Arrow,2,0,1,0,18,1,1,2,2,2,6,I wasn't 100% sure if I had reached the target locations when I got there,A little chime/sound when you get the location
2,Radar,2,1,1,0,18,1,1,2,2,2,6,No,Maybe again a sound 
2,Lights,1,0,1,0,19,1,0,1,1,2,7,,
2,Arrow and Radar,2,1,1,1,18,1,0,2,2,1,6,,
2,Arrow and Lights,1,0,1,0,19,1,0,2,1,2,7,,
2,Lights and Radar,0,1,1,0,19,1,0,1,2,2,7,,
4,Radar,2,7,3,13,12,12,0,5,2,6,5,"When arriving at what I thought was the sound, the radar went a bit crazy so I was unsure if I was definitely at the sound.",Not at all.
4,Lights,2,2,0,8,18,4,0,2,5,2,7,,
