StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q2_1,Q2_2,Q2_3,Q10,Q10_4_TEXT,Q10
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your Participant ID (PID)?,Please rank the visualisations from best to worst. - Arrow,Please rank the visualisations from best to worst. - Radar,Please rank the visualisations from best to worst. - Lights,Please rank the visualisations from best to worst. - Arrow and Radar,Please rank the visualisations from best to worst. - Radar and Lights,Please rank the visualisations from best to worst. - Lights and Arrow,Please rank the visualisations from best to worst. - Control - Hearing sound itself without any visualisations,Which visualizations would you prefer for different distances from the sound source? - Near,Which visualizations would you prefer for different distances from the sound source? - Medium,Which visualizations would you prefer for different distances from the sound source? - Far,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,How old are you?
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID1_6""}","{""ImportId"":""QID1_7""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_4_TEXT""}","{""ImportId"":""QID11_TEXT""}"
2026-08-03 13:09:17,2026-08-03 13:14:28,IP Address,92.40.193.174,100,311,True,2026-08-03 13:14:28,R_2PjVwWDj3XFKZ0X,,,,,55.867,-4.2621,anonymous,EN-GB,44,6,4,2,5,3,1,7,Lights,"Arrow,Lights","Arrow,Lights",Female,,30
2026-08-03 13:35:25,2026-08-03 14:28:47,IP Address,92.40.193.174,100,3201,True,2026-08-03 14:28:48,R_2j05vN83guAOIvX,,,,,55.867,-4.2621,anonymous,EN-GB,49,7,3,1,6,4,5,2,Lights,"Radar,Lights","Radar,Lights",Female,,23
2026-08-03 14:51:17,2026-08-03 16:00:50,IP Address,130.209.157.54,100,4172,True,2026-08-03 16:00:51,R_8KncfbbfhvXgNYR,,,,,55.867,-4.3056,anonymous,EN-GB,6,5,4,3,1,2,6,7,Lights,"Arrow,Radar,Lights","Arrow,Radar",Male,,25
2026-08-03 17:06:05,2026-08-03 18:10:26,IP Address,130.209.157.52,100,3861,True,2026-08-03 18:10:27,R_2r0bek2D6LBZabn,,,,,55.867,-4.3056,anonymous,EN-GB,51,3,5,6,2,4,1,7,"Arrow,Radar","Arrow,Radar","Arrow,Radar",Female,,26
2026-08-04 10:54:17,2026-08-04 11:00:20,IP Address,130.209.157.52,100,363,True,2026-08-04 11:00:21,R_8DLGfziRqNNKVM2,,,,,55.867,-4.3056,anonymous,EN-GB,52,6,5,4,1,3,2,7,"Arrow,Lights","Arrow,Radar",Radar,Female,,38
2026-08-04 14:49:44,2026-08-04 15:25:08,IP Address,92.40.193.181,100,2123,True,2026-08-04 15:25:08,R_2fVqs8q9wEkIRQp,,,,,55.867,-4.2621,anonymous,EN-GB,7,6,5,4,2,3,1,7,Radar,Arrow,Arrow,Female,,34
2026-08-04 16:07:51,2026-08-04 17:28:45,IP Address,130.209.157.54,100,4853,True,2026-08-04 17:28:46,R_20Z7QndPYeQstTE,,,,,55.867,-4.3056,anonymous,EN-GB,8,2,7,5,3,6,1,4,"Arrow,Lights",Arrow,"Arrow,Lights",Female,,27
2026-08-05 09:55:47,2026-08-05 12:33:44,IP Address,130.209.157.53,100,9476,True,2026-08-05 12:33:44,R_82JxQj7f8GrEwAm,,,,,55.867,-4.3056,anonymous,EN-GB,53,1,4,2,5,6,3,7,"Arrow,Lights",Arrow,Arrow,Female,,26
