StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q12_1,Q12_2,Q10_1,Q10_2,Q10_3,Q10_4,Q5_1,Q5_2,Q5_3,Q11_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your Participant ID (PID)?,Which visualization have you just completed?,Misery Scale (MISC) - Misery Scale,NASA TLX for this visualization. - Mental Demand. How mentally demanding was the task?,NASA TLX for this visualization. - Physical Demand. How physically demanding was the task?,NASA TLX for this visualization. - Temporal Demand. How hurried or rushed was the pace of the task?,NASA TLX for this visualization. - Performance. How successful were you in accomplishing what you were asked to do?,NASA TLX for this visualization. - Effort. How hard did you have to work to accomplish your level of performance?,"NASA TLX for this visualization. - Frustration. How insecure, discouraged, irritated, stressed, and annoyed were you?",Performance. How successful were you in interpreting the direction of the sound using this visualisation.,Performance. How successful were you in interpreting the magnitude of the sound using this visualisation.,UMUX for this visualisation - This visualisation's capabilities meet my requirements,UMUX for this visualisation - Using this visualisation is a frustrating experience,UMUX for this visualisation - This visualisation is easy to use,UMUX for this visualisation - I have to spend too much time correcting things with this visualisation.,Visual load. - The amount of visual information was overwhelming.,Visual load. - The visualization interfered with my awareness of the environment.,Visual load. - This visualisation was distracting,Confidence Question - I felt confident using this visualisation to localise sounds in my environment.
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID25_2""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID23_3""}","{""ImportId"":""QID23_4""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID24_1""}"
2026-08-03 12:24:36,2026-08-03 12:32:24,IP Address,92.40.193.173,100,468,True,2026-08-03 12:32:25,R_2P6JEsXTIN9pFCv,,,,,55.867,-4.2621,anonymous,EN-GB,44,Arrow,8,3,1,1,11,1,1,11,11,5,3,5,2,2,2,1,6
2026-08-03 12:34:33,2026-08-03 12:38:18,IP Address,92.40.193.174,100,225,True,2026-08-03 12:38:19,R_29tv7fwRdjzBI1j,,,,,55.867,-4.2621,anonymous,EN-GB,44,Radar,8,1,1,1,12,8,1,14,14,6,2,6,2,2,1,1,5
2026-08-03 12:41:08,2026-08-03 12:44:15,IP Address,92.40.193.174,100,187,True,2026-08-03 12:44:15,R_21vVyHnOJQlDcPM,,,,,55.867,-4.2621,anonymous,EN-GB,44,Lights,7,0,0,0,17,1,1,18,18,6,1,7,1,1,1,1,7
2026-08-03 12:45:43,2026-08-03 12:52:06,IP Address,92.40.193.174,100,382,True,2026-08-03 12:52:06,R_2dj67vkFKdq4f42,,,,,55.867,-4.2621,anonymous,EN-GB,44,Arrow and Radar,9,2,2,2,11,11,7,12,15,5,6,6,5,6,5,5,5
2026-08-03 12:58:33,2026-08-03 12:59:52,IP Address,92.40.193.175,100,78,True,2026-08-03 12:59:52,R_2KRZsPTNIJlEOsh,,,,,55.867,-4.2621,anonymous,EN-GB,44,Arrow and Lights,8,0,0,2,18,0,0,19,19,5,3,7,1,3,3,3,7
2026-08-03 13:00:13,2026-08-03 13:03:22,IP Address,92.40.193.174,100,189,True,2026-08-03 13:03:22,R_2GiAjKWsW9yuAUA,,,,,55.867,-4.2621,anonymous,EN-GB,44,Lights and Radar,9,1,0,1,16,8,1,18,18,5,3,6,3,3,3,3,5
2026-08-03 13:09:10,2026-08-03 13:12:41,IP Address,92.40.193.174,100,211,True,2026-08-03 13:12:41,R_8fItwisGj9GCZ8H,,,,,55.867,-4.2621,anonymous,EN-GB,44,Control - Hearing sound itself without any visualisations,9,11,1,2,8,16,12,2,1,4,5,3,5,1,1,1,1
2026-08-03 13:35:24,2026-08-03 13:56:21,IP Address,92.40.193.177,100,1256,True,2026-08-03 13:56:21,R_8LNffssLCzQZfre,,,,,55.867,-4.2621,anonymous,EN-GB,49,Arrow and Lights,1,11,11,12,13,9,10,15,14,5,3,5,3,3,4,3,6
