PID,Time,TrialIndex,SpawnIndex,AudioIndex,AudioAngle,absError,DistanceFromSource,ResponseTime,Visualisation
1,42.72646,0,0,0,29.14478,29.14478,11.55879,1.276199,1
1,43.03542,1,5,0,109.684,109.684,14.21006,0.3089638,1
1,43.25887,2,5,3,150.285,150.285,10.72174,0.2234497,1
1,43.46739,3,5,7,104.0907,104.0907,18.87879,0.2085152,1
1,43.68771,4,2,6,19.82557,19.82557,15.22028,0.2203178,1
1,43.9509,5,2,7,19.1646,19.1646,22.94321,0.2631989,1
1,44.17102,6,0,9,214.6953,145.3047,14.87719,0.2201195,1
1,44.42031,7,3,6,3.217584,3.217584,9.541769,0.2492905,1
1,44.64465,8,4,5,132.5615,132.5615,13.21735,0.2243385,1
1,44.86877,9,5,4,194.3589,165.6411,8.353429,0.2241173,1
1,53.78441,10,2,3,339.8692,20.13083,17.94807,0.7241783,1
1,54.16198,11,5,6,127.4558,127.4558,20.0088,0.3775673,1
1,54.4241,12,4,0,83.15659,83.15659,6.829758,0.2621193,1
1,54.67089,13,3,0,352.1913,7.808685,16.5708,0.2467957,1
1,54.86497,14,3,9,251.6014,108.3986,17.27237,0.1940804,1
1,55.0895,15,4,6,120.06,120.06,10.91896,0.2245293,1
1,55.31214,16,4,2,185.8815,174.1185,16.76145,0.2226372,1
1,55.54634,17,1,2,151.6123,151.6123,7.960282,0.2341995,1
1,55.7818,18,1,7,57.58868,57.58868,20.93868,0.2354622,1
1,55.97635,19,1,3,32.40568,32.40568,8.09928,0.1945419,1
1,61.54842,20,4,9,205.1897,154.8103,22.08193,0.8224258,1
1,61.86473,21,0,6,72.88203,72.88203,8.798267,0.3163071,1
1,62.15628,22,1,1,117.8419,117.8419,20.63745,0.2915535,1
1,62.47576,23,1,9,194.1875,165.8125,11.18634,0.3194771,1
1,62.74261,24,4,4,266.3074,93.69263,8.431105,0.2668495,1
1,63.00653,25,2,0,11.37657,11.37657,21.53866,0.2639236,1
1,63.65868,26,3,2,235.2017,124.7983,11.33668,0.6521492,1
1,64.03128,27,3,4,314.2575,45.74249,22.23883,0.3726006,1
1,64.26779,28,0,8,33.633,33.633,20.22791,0.2365112,1
1,64.49293,29,5,8,86.43668,86.43668,17.54568,0.2251358,1
1,73.54639,30,5,5,78.69343,78.69343,20.63276,1.527992,3
1,73.85358,31,2,4,330.4435,29.55649,22.2494,0.3071823,3
1,74.08984,32,2,9,270.8373,89.16266,11.84008,0.2362595,3
1,74.28208,33,1,5,93.95381,93.95381,15.3364,0.1922455,3
1,74.50391,34,1,4,344.1454,15.85464,8.118051,0.2218323,3
1,74.71223,35,1,6,84.505,84.505,15.34961,0.2083206,3
1,77.60297,36,0,4,296.749,63.25104,9.309667,2.890732,3
1,77.86456,37,0,1,132.4247,132.4247,16.02003,0.2615891,3
1,78.0862,38,3,5,20.7159,20.7159,6.126346,0.2216492,3
1,78.30922,39,0,5,100.7618,100.7618,8.7688,0.2230148,3
1,81.17336,40,2,8,20.67764,20.67764,29.34058,0.3358002,3
1,81.3925,41,3,3,325.767,34.233,15.7273,0.2191391,3
1,81.6311,42,4,8,61.13121,61.13121,13.88631,0.2386017,3
1,81.89211,43,3,7,19.47661,19.47661,16.75644,0.2610016,3
1,82.13089,44,4,3,204.5557,155.4443,3.690784,0.2387848,3
1,82.36923,45,5,2,174.7293,174.7293,23.90308,0.2383423,3
1,82.6428,46,1,8,50.17029,50.17029,24.88506,0.2735672,3
1,82.8962,47,5,9,189.4688,170.5312,27.16513,0.2534027,3
1,83.12812,48,0,3,341.543,18.45703,6.548822,0.2319183,3
1,83.36538,49,2,1,86.24088,86.24088,9.367295,0.2372589,3
1,85.89263,50,0,7,59.28431,59.28431,14.46415,0.6239243,3
1,86.11427,51,3,8,12.8485,12.8485,23.63059,0.2216415,3
1,86.3372,52,1,0,57.1818,57.1818,16.61968,0.2229309,3
1,86.57276,53,3,1,124.8922,124.8922,5.706627,0.2355576,3
1,86.8811,54,4,1,149.1729,149.1729,22.15271,0.3083344,3
1,87.16127,55,5,1,147.0929,147.0929,31.02482,0.2801743,3
1,87.36806,56,2,2,300.6707,59.32935,6.966635,0.2067871,3
1,87.61779,57,2,5,34.34604,34.34604,12.39848,0.249733,3
1,87.82379,58,0,2,209.291,150.709,9.124732,0.2060013,3
1,88.04762,59,4,7,92.06097,92.06097,11.74332,0.2238235,3
2,465.9796,0,3,7,355.7321,4.267944,0.966328,25.94522,1
2,489.8395,1,1,5,357.2498,2.750244,0.5731822,23.85992,1
2,510.9938,2,1,3,359.7486,0.2514038,0.5822234,21.15427,1
2,535.8386,3,3,4,3.957179,3.957179,0.5463591,24.84479,1
2,550.6883,4,5,0,3.071165,3.071165,0.7756156,14.84973,1
2,570.0769,5,1,8,357.0214,2.978638,0.6988254,19.38861,1
2,600.7691,6,2,3,356.8962,3.103821,0.6134023,30.6922,1
2,616.2436,7,0,8,349.0449,10.95511,0.7609659,15.47449,1
2,629.216,8,3,5,358.7161,1.283936,0.5925764,12.97241,1
2,652.0079,9,4,9,359.4648,0.5352173,0.6199719,22.79187,1
2,1002.137,10,5,7,6.245968,6.245968,0.5599877,19.15601,2
2,1015.54,11,0,9,348.0967,11.90332,0.6326304,13.40295,2
2,1038.589,12,2,5,339.3257,20.67432,0.5695975,23.04865,2
2,1051.291,13,4,0,350.6132,9.38678,0.6639678,12.70239,2
2,1074.696,14,5,3,356.9677,3.032318,0.5632908,23.40515,2
2,1096.904,15,2,6,355.2129,4.787079,0.5719194,22.20813,2
3,9.416828,0,5,8,316.3333,43.66666,16.2957,2.044063,1
3,9.835068,1,4,8,189.6744,170.3256,14.17978,0.4182396,1
3,10.15487,2,4,2,320.9454,39.0546,17.37555,0.3198004,1
3,10.41632,3,1,0,182.2519,177.7481,16.09378,0.2614565,1
3,10.62405,4,3,8,138.4798,138.4798,23.80275,0.2077246,1
3,10.83362,5,2,9,32.66033,32.66033,11.71028,0.2095757,1
