sample,timestamp,angle
0,1771704876.8610969,342.0
1,1771704876.988681,342.0
2,1771704877.1123788,342.0
3,1771704877.21421,344.0
4,1771704877.3239462,344.0
5,1771704877.4459894,344.0
6,1771704877.5479562,342.0
7,1771704877.6455262,342.0
8,1771704877.772031,342.0
9,1771704877.888568,344.0
10,1771704878.0063238,344.0
11,1771704878.106843,342.0
12,1771704878.218687,342.0
13,1771704878.3363981,344.0
14,1771704878.4451594,344.0
15,1771704878.5716944,342.0
16,1771704878.6827896,344.0
17,1771704878.787518,342.0
18,1771704878.8966181,344.0
19,1771704879.0091443,344.0
20,1771704879.1055298,342.0
21,1771704879.2053995,344.0
22,1771704879.2977405,342.0
23,1771704879.396677,342.0
24,1771704879.4979568,344.0
25,1771704879.6102908,344.0
26,1771704879.7059205,344.0
27,1771704879.8061142,342.0
28,1771704879.9130917,342.0
29,1771704880.0244215,342.0
30,1771704880.139186,344.0
31,1771704880.237291,344.0
32,1771704880.3452888,342.0
33,1771704880.4454153,342.0
34,1771704880.5560968,342.0
35,1771704880.659964,342.0
36,1771704880.7619588,342.0
37,1771704880.8660412,344.0
38,1771704880.9672928,344.0
39,1771704881.0653236,344.0
40,1771704881.173717,342.0
41,1771704881.2791712,342.0
42,1771704881.3792179,344.0
43,1771704881.4882333,340.0
44,1771704881.5866158,342.0
45,1771704881.6960163,344.0
46,1771704881.7973266,344.0
47,1771704881.8973653,342.0
48,1771704881.9961283,342.0
49,1771704882.0973995,344.0
50,1771704882.2003155,342.0
51,1771704882.2989113,342.0
52,1771704882.3972008,342.0
53,1771704882.49738,344.0
54,1771704882.5961323,342.0
55,1771704882.699293,342.0
56,1771704882.7938452,342.0
57,1771704882.9053643,342.0
58,1771704883.0062866,344.0
59,1771704883.1184084,344.0
60,1771704883.2209766,344.0
61,1771704883.32438,342.0
62,1771704883.4262614,344.0
63,1771704883.525578,344.0
64,1771704883.625636,342.0
65,1771704883.725598,342.0
66,1771704883.8176842,342.0
67,1771704883.9285848,344.0
68,1771704884.0262656,344.0
69,1771704884.128073,342.0
70,1771704884.2309635,342.0
71,1771704884.3359487,344.0
72,1771704884.4374483,344.0
73,1771704884.5374281,342.0
74,1771704884.6390083,344.0
75,1771704884.751324,342.0
76,1771704884.8495166,344.0
77,1771704884.9481254,342.0
78,1771704885.0572505,344.0
79,1771704885.1561875,342.0
80,1771704885.2562354,342.0
81,1771704885.356156,342.0
82,1771704885.456156,342.0
83,1771704885.5563927,342.0
84,1771704885.6573656,342.0
85,1771704885.7574801,344.0
86,1771704885.8574204,342.0
87,1771704885.962576,342.0
88,1771704886.0661745,342.0
89,1771704886.1662188,344.0
90,1771704886.264947,344.0
91,1771704886.373964,342.0
92,1771704886.4760268,344.0
93,1771704886.5826476,342.0
94,1771704886.677485,344.0
95,1771704886.7930007,342.0
96,1771704886.8905005,342.0
97,1771704887.008973,342.0
98,1771704887.1254911,342.0
99,1771704887.2492118,344.0
100,1771704887.3453789,344.0
101,1771704887.439362,344.0
102,1771704887.5502474,342.0
103,1771704887.653247,344.0
104,1771704887.7507665,344.0
105,1771704887.852168,342.0
106,1771704887.954023,342.0
107,1771704888.0490444,342.0
108,1771704888.1477888,342.0
109,1771704888.2454982,342.0
110,1771704888.346463,342.0
111,1771704888.448205,342.0
112,1771704888.5492854,342.0
113,1771704888.645516,342.0
114,1771704888.7522576,342.0
115,1771704888.8487642,344.0
116,1771704888.9605162,340.0
117,1771704889.059602,342.0
118,1771704889.1575491,342.0
119,1771704889.256258,342.0
120,1771704889.3463721,344.0
121,1771704889.449749,342.0
122,1771704889.5454974,342.0
123,1771704889.6455443,342.0
124,1771704889.7463734,344.0
125,1771704889.8495712,342.0
126,1771704889.9591198,344.0
127,1771704890.0583768,342.0
128,1771704890.156257,342.0
129,1771704890.2580802,344.0
130,1771704890.35871,344.0
131,1771704890.467821,342.0
132,1771704890.5698354,344.0
133,1771704890.665569,344.0
134,1771704890.7658455,342.0
135,1771704890.8663425,344.0
136,1771704890.967336,342.0
137,1771704891.0655098,342.0
138,1771704891.1663156,342.0
139,1771704891.2672644,344.0
140,1771704891.3677104,344.0
141,1771704891.471545,344.0
142,1771704891.5713568,342.0
143,1771704891.6689427,342.0
144,1771704891.7729166,342.0
145,1771704891.8725126,342.0
146,1771704891.9702892,342.0
147,1771704892.0793571,344.0
148,1771704892.1775231,344.0
149,1771704892.277814,344.0
150,1771704892.3775425,344.0
151,1771704892.4824424,344.0
152,1771704892.5871298,344.0
153,1771704892.6871073,344.0
154,1771704892.786381,344.0
155,1771704892.886629,344.0
156,1771704892.986402,342.0
157,1771704893.0863914,344.0
158,1771704893.185399,344.0
159,1771704893.2906811,344.0
160,1771704893.3858101,342.0

STATISTICS
samples,161
std_dev,1.0402
range,4.0000
