SpawnName,AudioName,NavMeshDistance
SpawnPoint1,audio1,11.96334
SpawnPoint1,audio2,18.89598
SpawnPoint1,audio3,13.05113
SpawnPoint1,audio4,6.389878
SpawnPoint1,audio5,14.52347
SpawnPoint1,audio6,8.880561
SpawnPoint1,audio7,8.899137
SpawnPoint1,audio8,15.09784
SpawnPoint1,audio9,21.88328
SpawnPoint1,audio10,16.31466
SpawnPoint2,audio1,17.7568
SpawnPoint2,audio2,21.05371
SpawnPoint2,audio3,12.04316
SpawnPoint2,audio4,10.91565
SpawnPoint2,audio5,8.571272
SpawnPoint2,audio6,15.68122
SpawnPoint2,audio7,15.68552
SpawnPoint2,audio8,21.10254
SpawnPoint2,audio9,28.32494
SpawnPoint2,audio10,11.82508
SpawnPoint3,audio1,24.05978
SpawnPoint3,audio2,9.585128
SpawnPoint3,audio3,6.286705
SpawnPoint3,audio4,19.26798
SpawnPoint3,audio5,22.74096
SpawnPoint3,audio6,12.55057
SpawnPoint3,audio7,14.78245
SpawnPoint3,audio8,23.56249
SpawnPoint3,audio9,30.75146
SpawnPoint3,audio10,11.55996
SpawnPoint4,audio1,22.89727
SpawnPoint4,audio2,5.703778
SpawnPoint4,audio3,12.10742
SpawnPoint4,audio4,20.52592
SpawnPoint4,audio5,24.02246
SpawnPoint4,audio6,11.58127
SpawnPoint4,audio7,13.81315
SpawnPoint4,audio8,20.56359
SpawnPoint4,audio9,27.75672
SpawnPoint4,audio10,17.65318
SpawnPoint5,audio1,7.17475
SpawnPoint5,audio2,27.7462
SpawnPoint5,audio3,22.52543
SpawnPoint5,audio4,3.9427
SpawnPoint5,audio5,8.386432
SpawnPoint5,audio6,17.35478
SpawnPoint5,audio7,15.09474
SpawnPoint5,audio8,12.09311
SpawnPoint5,audio9,14.22288
SpawnPoint5,audio10,24.7102
SpawnPoint6,audio1,15.90862
SpawnPoint6,audio2,35.44239
SpawnPoint6,audio3,28.05725
SpawnPoint6,audio4,13.11397
SpawnPoint6,audio5,8.236263
SpawnPoint6,audio6,25.33808
SpawnPoint6,audio7,24.266
SpawnPoint6,audio8,21.0622
SpawnPoint6,audio9,17.48502
SpawnPoint6,audio10,27.75205
