StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5_1,Q5_2,Q5_3,Q6_1,Q7,Q8
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your Participant ID (PID)?,Which visualization have you just completed?,Misery Scale (MISC) - Misery Scale,NASA TLX for this visualization. - Mental Demand. How mentally demanding was the task?,NASA TLX for this visualization. - Physical Demand. How physically demanding was the task?,NASA TLX for this visualization. - Temporal Demand. How hurried or rushed was the pace of the task?,NASA TLX for this visualization. - Performance. How successful were you in accomplishing what you were asked to do?,NASA TLX for this visualization. - Effort. How hard did you have to work to accomplish your level of performance?,"NASA TLX for this visualization. - Frustration. How insecure, discouraged, irritated, stressed, and annoyed were you?",Visual load. - This visualization was visually demanding.,Visual load. - The amount of visual information was overwhelming.,Visual load. - The visualization interfered with my awareness of the environment.,Confidence. - I felt confident using this visualization to localise sound.,Did you find anything confusing about this visualization?,Any suggestions for improving this visualization?
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID8_TEXT""}"
2026-02-21 20:56:50,2026-02-21 21:18:04,IP Address,92.40.192.157,100,1273,True,2026-02-21 21:18:04,R_2s5kRQBX0aKRtYt,,,,,55.8557,-4.2104,anonymous,EN-GB,2,Arrow,2,0,1,0,18,1,1,2,2,2,6,I wasn't 100% sure if I had reached the target locations when I got there,A little chime/sound when you get the location
2026-02-21 21:21:08,2026-02-21 21:34:09,IP Address,92.40.192.157,100,781,True,2026-02-21 21:34:10,R_2JTmQnOgVX8Tbjz,,,,,55.8557,-4.2104,anonymous,EN-GB,2,Radar,2,1,1,0,18,1,1,2,2,2,6,No,"Maybe again a sound "
2026-02-21 21:34:23,2026-02-21 21:39:47,IP Address,92.40.192.158,100,324,True,2026-02-21 21:39:48,R_2pb4mmfbUxmvjhi,,,,,55.8557,-4.2104,anonymous,EN-GB,2,Lights,1,0,1,0,19,1,0,1,1,2,7,,
2026-02-21 21:42:34,2026-02-21 21:44:34,IP Address,92.40.192.158,100,120,True,2026-02-21 21:44:35,R_8hu51LEtArpgKvD,,,,,55.8557,-4.2104,anonymous,EN-GB,2,Arrow and Radar,2,1,1,1,18,1,0,2,2,1,6,,
2026-02-21 21:46:04,2026-02-21 21:49:55,IP Address,92.40.192.160,100,231,True,2026-02-21 21:49:56,R_8zI8uAbZh2AFW4V,,,,,55.8557,-4.2104,anonymous,EN-GB,2,Arrow and Lights,1,0,1,0,19,1,0,2,1,2,7,,
2026-02-21 21:51:28,2026-02-21 21:54:46,IP Address,92.40.192.157,100,197,True,2026-02-21 21:54:46,R_8vDPxFxtrATs4db,,,,,55.8557,-4.2104,anonymous,EN-GB,2,Lights and Radar,0,1,1,0,19,1,0,1,2,2,7,,
2026-02-22 13:29:11,2026-02-22 13:46:54,IP Address,82.4.26.160,100,1063,True,2026-02-22 13:46:55,R_210SMFmMP3VbvD8,,,,,55.9335,-3.254,anonymous,EN-GB,4,Radar,2,7,3,13,12,12,0,5,2,6,5,"When arriving at what I thought was the sound, the radar went a bit crazy so I was unsure if I was definitely at the sound.",Not at all.
2026-02-22 13:48:49,2026-02-22 13:52:09,IP Address,82.4.26.160,100,199,True,2026-02-22 13:52:09,R_23wYLYVcmc80N1c,,,,,55.9335,-3.254,anonymous,EN-GB,4,Lights,2,2,0,8,18,4,0,2,5,2,7,,
