Type,Name,PosX,PosY,PosZ
AudioSource,audio1,8.980827,2.240375,-0.3348302
AudioSource,audio2,-11.22709,2.240375,-4.153791
AudioSource,audio3,-8.050659,2.240375,10.92296
AudioSource,audio4,5.722939,2.240375,8.42525
AudioSource,audio5,8.021553,2.240375,15.1944
AudioSource,audio6,-1.583763,2.240375,-1.920332
AudioSource,audio7,1.514847,2.240375,-1.920332
AudioSource,audio8,8.45594,2.240375,-5.257851
AudioSource,audio9,15.65043,2.240375,-5.257851
AudioSource,audio10,-11.42619,2.240375,16.98624
SpawnPoint,SpawnPoint1,-0.0877533,1.330562,6.833314
SpawnPoint,SpawnPoint2,-0.0877533,1.330562,13.6831
SpawnPoint,SpawnPoint3,-11.10955,1.425904,5.430615
SpawnPoint,SpawnPoint4,-7.60733,1.330562,0.2542045
SpawnPoint,SpawnPoint5,8.673019,1.330562,6.833314
SpawnPoint,SpawnPoint6,15.08018,1.330562,12.21787
