Type,Name,PosX,PosY,PosZ
AudioSource,audio1,18.50108,2.240375,8.072313
AudioSource,audio2,-12.76373,2.240375,-2.968284
AudioSource,audio3,-6.982796,2.240375,3.945664
AudioSource,audio4,-4.267899,2.240375,13.83695
AudioSource,audio5,10.70026,2.240375,4.009011
AudioSource,audio6,-0.3493881,2.240375,1.330309
AudioSource,audio7,3.704865,2.240375,6.135684
AudioSource,audio8,10.01249,2.240375,-2.995433
AudioSource,audio9,8.645988,2.240375,14.21704
AudioSource,audio10,-13.04607,2.240375,7.502184
AudioSource,audio11,-11.77007,2.240375,14.48853
AudioSource,audio12,-7.009949,2.240375,-1.647032
AudioSource,audio13,4.465034,2.240375,1.936637
AudioSource,audio14,17.55991,2.240375,15.04961
AudioSource,audio15,10.70931,2.240375,9.674106
AudioSource,audio16,-1.534889,2.240375,7.502184
AudioSource,audio17,0.9266129,2.240375,11.33924
SpawnPoint,SpawnPoint1,-3.969368,1.297399,8.733745
SpawnPoint,SpawnPoint2,-11.10955,1.301019,13.42147
SpawnPoint,SpawnPoint3,14.56436,1.306449,14.66128
