SpawnName,AudioName,NavMeshDistance
SpawnPoint1,audio1,-1
SpawnPoint1,audio2,-1
SpawnPoint1,audio3,-1
SpawnPoint1,audio4,-1
SpawnPoint1,audio5,-1
SpawnPoint1,audio6,-1
SpawnPoint1,audio7,-1
SpawnPoint1,audio8,-1
SpawnPoint1,audio9,-1
SpawnPoint1,audio10,-1
SpawnPoint2,audio1,-1
SpawnPoint2,audio2,-1
SpawnPoint2,audio3,-1
SpawnPoint2,audio4,-1
SpawnPoint2,audio5,-1
SpawnPoint2,audio6,-1
SpawnPoint2,audio7,-1
SpawnPoint2,audio8,-1
SpawnPoint2,audio9,-1
SpawnPoint2,audio10,-1
SpawnPoint3,audio1,-1
SpawnPoint3,audio2,-1
SpawnPoint3,audio3,-1
SpawnPoint3,audio4,-1
SpawnPoint3,audio5,-1
SpawnPoint3,audio6,-1
SpawnPoint3,audio7,-1
SpawnPoint3,audio8,-1
SpawnPoint3,audio9,-1
SpawnPoint3,audio10,-1
SpawnPoint4,audio1,-1
SpawnPoint4,audio2,-1
SpawnPoint4,audio3,-1
SpawnPoint4,audio4,-1
SpawnPoint4,audio5,-1
SpawnPoint4,audio6,-1
SpawnPoint4,audio7,-1
SpawnPoint4,audio8,-1
SpawnPoint4,audio9,-1
SpawnPoint4,audio10,-1
SpawnPoint5,audio1,-1
SpawnPoint5,audio2,-1
SpawnPoint5,audio3,-1
SpawnPoint5,audio4,-1
SpawnPoint5,audio5,-1
SpawnPoint5,audio6,-1
SpawnPoint5,audio7,-1
SpawnPoint5,audio8,-1
SpawnPoint5,audio9,-1
SpawnPoint5,audio10,-1
SpawnPoint6,audio1,-1
SpawnPoint6,audio2,-1
SpawnPoint6,audio3,-1
SpawnPoint6,audio4,-1
SpawnPoint6,audio5,-1
SpawnPoint6,audio6,-1
SpawnPoint6,audio7,-1
SpawnPoint6,audio8,-1
SpawnPoint6,audio9,-1
SpawnPoint6,audio10,-1
