PID,Time,TrialIndex,SpawnIndex,AudioIndex,AudioAngle,absError,DistanceFromSource,ResponseTime,Visualisation
1,25.18115,0,3,4,214.3089,145.6911,4.288088,0.9628735,1
1,28.42822,1,0,6,74.04768,74.04768,7.90795,3.247068,1
1,28.78517,2,1,2,161.1393,161.1393,10.55248,0.3569508,1
1,29.04573,3,2,0,53.97828,53.97828,12.92448,0.260561,1
1,29.3193,4,1,8,101.7374,101.7374,19.84335,0.2735653,1
1,29.58251,5,3,2,270.2606,89.73938,17.78612,0.263216,1
1,29.92167,6,3,8,13.64267,13.64267,5.232552,0.3391533,1
1,51.55044,7,1,4,143.8497,143.8497,23.45754,0.6780472,2
1,51.89238,8,0,1,251.2614,108.7386,15.04999,0.3419456,2
1,52.58413,9,2,8,31.62186,31.62186,15.32347,0.6917458,2
1,52.91897,10,2,1,295.8914,64.10858,22.29175,0.3348427,2
1,53.67584,11,1,1,220.5232,139.4768,16.82098,0.7568703,2
1,53.92415,12,4,4,263.2231,96.77686,15.13716,0.2483101,2
1,54.14379,13,0,2,247.5915,112.4085,5.627423,0.2196388,2
1,64.83911,14,2,7,125.7352,125.7352,8.905377,5.125763,2
1,65.25318,15,4,2,277.3711,82.62891,30.05062,0.4140701,2
1,65.7175,16,1,7,150.0552,150.0552,27.20025,0.4643173,2
1,66.17151,17,0,5,173.82,173.82,8.217255,0.45401,2
1,66.58894,18,0,3,33.30516,33.30516,5.468663,0.4174271,2
1,67.07141,19,3,7,205.6824,154.3176,11.99386,0.4824753,2
1,67.71034,20,3,9,290.7512,69.24884,22.23778,0.6389313,2
1,74.11195,21,2,9,328.1686,31.83139,23.95343,0.3472595,2
1,74.45785,22,4,6,287.4088,72.59116,19.3662,0.3459015,2
1,74.7262,23,1,9,236.5457,123.4543,5.844678,0.2683563,2
1,75.03793,24,3,5,272.4033,87.59668,12.47166,0.3117218,2
1,75.38226,25,2,6,2.01671,2.01671,9.021697,0.3443375,2
1,75.67958,26,1,0,137.5856,137.5856,30.50089,0.2973175,2
1,75.92079,27,1,3,126.2541,126.2541,6.965738,0.2412109,2
2,22.37013,0,3,0,80.16174,80.16174,8.797981,0.6372662,5
2,22.76434,1,0,3,338.274,21.72595,5.148269,0.3942108,5
2,23.03235,2,1,8,68.0396,68.0396,19.90136,0.2680073,5
2,23.23091,3,2,9,271.3906,88.60944,23.93994,0.1985607,5
2,23.4391,4,4,2,231.5591,128.4409,30.6256,0.2081909,5
2,23.6773,5,0,5,133.1833,133.1833,8.270079,0.238203,5
