PID,Time,TrialIndex,Visualisation,PosX,PosY,PosZ,RotY
1,24.32967,0,1,f9.813733,2.785186,9.099979,272.2017
1,24.4549,0,1,f9.635507,2.787587,8.948833,273.9141
1,24.55766,0,1,f9.499516,2.789722,8.812065,275.1814
1,24.65805,0,1,f9.388348,2.793895,8.661619,277.6655
1,24.7824,0,1,f9.287924,2.800283,8.45859,285.9623
1,24.90122,0,1,f9.174571,2.804109,8.272177,292.2864
1,25.01444,0,1,f9.06619,2.806142,8.091354,296.0056
1,25.11939,0,1,f8.957234,2.807343,7.927989,298.5517
1,25.2969,1,1,f-4.040191,2.808501,8.495623,302.0501
1,25.39976,1,1,f-4.162887,2.808101,8.345469,302.8961
1,25.50568,1,1,f-4.292166,2.809648,8.195613,304.9998
1,25.60869,1,1,f-4.423268,2.81338,8.060429,309.911
1,25.71077,1,1,f-4.532496,2.820709,7.920778,317.7545
1,25.8253,1,1,f-4.525481,2.822649,7.738364,324.7747
1,25.93753,1,1,f-4.39263,2.822855,7.569935,324.1627
1,26.04861,1,1,f-4.285433,2.822651,7.387154,325.5659
1,26.16026,1,1,f-4.202407,2.824005,7.1915,327.2385
1,26.27159,1,1,f-4.122305,2.823431,6.996524,327.8033
1,26.38415,1,1,f-4.063086,2.8219,6.792914,328.1867
1,26.49729,1,1,f-4.031286,2.821302,6.582355,328.8562
1,26.61073,1,1,f-4.011509,2.821145,6.36869,329.2939
1,26.7123,1,1,f-3.99542,2.820781,6.176719,329.0861
1,26.813,1,1,f-3.97752,2.819981,5.986147,328.954
1,26.91459,1,1,f-3.95435,2.819869,5.854217,328.9753
1,27.03131,1,1,f-3.919138,2.819783,5.74414,328.9068
1,27.13457,1,1,f-3.874974,2.818803,5.553124,328.9777
1,27.23781,1,1,f-3.836016,2.817765,5.360777,329.4048
1,27.34052,1,1,f-3.7926,2.817446,5.16912,330.6306
1,27.44376,1,1,f-3.739848,2.817654,4.976528,332.227
1,27.54805,1,1,f-3.659839,2.816333,4.789419,333.9724
1,27.65232,1,1,f-3.580591,2.814489,4.601527,336.6917
1,27.7544,1,1,f-3.514169,2.811861,4.410821,341.3351
1,27.85851,1,1,f-3.465326,2.807406,4.211018,345.8628
1,27.96148,1,1,f-3.444198,2.802477,4.007947,351.0745
1,28.06608,1,1,f-3.440579,2.797117,3.802979,354.7323
1,28.16971,1,1,f-3.455725,2.791281,3.608495,358.1624
1,28.27328,1,1,f-3.525558,2.788332,3.588617,359.1797
1,28.37651,1,1,f-3.716966,2.788173,3.633758,358.2593
1,28.53425,2,1,f-11.20794,2.789494,13.42024,356.0202
1,28.64601,2,1,f-11.39071,2.789739,13.47531,355.0634
1,28.75705,2,1,f-11.45127,2.789942,13.48512,353.9082
1,28.88929,3,1,f9.492352,2.79062,-1.100047,352.0392
1,29.00219,3,1,f9.430495,2.793108,-1.098603,350.936
1,29.15217,4,1,f-11.12426,2.798994,13.38321,349.5055
1,29.26403,4,1,f-11.17016,2.80402,13.38499,346.9808
1,29.42022,5,1,f10.00424,2.808651,9.200653,344.0826
1,29.52197,5,1,f10.00219,2.811916,9.196402,342.6792
1,29.68383,6,1,f10.01413,2.527046,9.186472,339.1255
1,29.79667,6,1,f10.00973,2.529606,9.179625,334.8859
1,29.90792,6,1,f10.0049,2.53057,9.172363,329.813
1,47.74353,6,2,f7.604615,2.816366,-1.454652,326.6211
1,47.85953,6,2,f7.604231,2.814794,-1.454606,326.6326
1,47.97502,6,2,f7.604512,2.815053,-1.455149,326.5478
1,48.09247,6,2,f7.59478,2.816599,-1.452735,326.1519
1,48.20704,6,2,f7.488363,2.818626,-1.443698,325.4253
1,48.32048,6,2,f7.275694,2.818773,-1.47507,325.0761
1,48.44148,6,2,f7.050751,2.818768,-1.519741,325.1898
1,48.55752,6,2,f6.835137,2.819115,-1.565212,325.2271
1,48.67222,6,2,f6.62211,2.819706,-1.612685,325.1728
1,48.79327,6,2,f6.39793,2.819847,-1.664553,324.9572
1,48.91563,6,2,f6.17159,2.820088,-1.716533,325.0351
1,49.03823,6,2,f5.943717,2.820041,-1.763646,325.1494
1,49.13824,6,2,f5.757601,2.82027,-1.778687,325.2881
1,49.25994,6,2,f5.531017,2.820165,-1.778955,325.5614
1,49.36141,6,2,f5.342048,2.820142,-1.779315,325.8021
1,49.4854,6,2,f5.110829,2.819838,-1.779557,325.9396
1,49.58567,6,2,f4.924143,2.819944,-1.779701,326.0576
1,49.70945,6,2,f4.693437,2.82025,-1.821483,326.3022
1,49.83273,6,2,f4.463337,2.81998,-1.862369,326.3856
1,49.95718,6,2,f4.228484,2.820303,-1.888438,326.432
1,50.05735,6,2,f4.038925,2.820414,-1.904239,326.5259
1,50.17933,6,2,f3.871625,2.82022,-1.923078,326.5083
1,50.2814,6,2,f3.871308,2.819963,-1.938861,326.4539
1,50.38318,6,2,f3.871594,2.819975,-1.955163,326.4828
1,50.4851,6,2,f3.871796,2.820011,-1.964488,326.5375
1,50.59025,6,2,f3.87121,2.819795,-1.95588,326.6982
1,50.69606,6,2,f3.868419,2.819714,-1.918601,326.7239
1,50.7976,6,2,f3.86272,2.819889,-1.912787,326.7609
1,50.98386,7,2,f-11.0189,2.531766,13.32172,326.6653
1,51.09613,7,2,f-11.04059,2.819416,13.3304,326.5867
1,51.19618,7,2,f-11.06592,2.819517,13.3422,326.4838
1,51.30753,7,2,f-11.05327,2.819369,13.34205,326.4105
1,51.42223,7,2,f-10.85333,2.819476,13.37905,326.5501
1,51.52248,7,2,f-10.79491,2.819275,13.38359,326.5333
1,51.65887,8,2,f-3.877275,2.528179,8.632334,326.4734
1,51.76774,8,2,f-3.877635,2.528207,8.632157,326.4558
1,51.87864,8,2,f-3.87829,2.528199,8.631966,326.4005
1,52.00614,9,2,f9.507998,2.819693,-1.129597,326.1978
1,52.12066,9,2,f9.507661,2.819616,-1.129478,326.1989
